text,intent
hola,saludo
hola guapa,saludo
buenos días,saludo
buenas tardes,saludo
buenas noches,saludo
"hola, ¿cómo están?",saludo
¿me puedes ayudar?,saludo
¿hay alguien ahí?,saludo
¿dónde están ubicados?,ubicacion
¿cuál es su dirección?,ubicacion
¿me puedes mandar la ubicación?,ubicacion
¿en qué parte de zapopan están?,ubicacion
¿cómo llego al salón?,ubicacion
¿están cerca de walmart la cima?,ubicacion
¿qué servicios ofrecen?,preguntar_servicios
¿me puedes decir qué hacen ahí?,preguntar_servicios
¿qué tipo de tratamientos tienen?,preguntar_servicios
quiero saber qué servicios tienen,preguntar_servicios
¿hacen uñas y pestañas?,preguntar_servicios
¿cuánto cuesta el gelish?,preguntar_precios
¿me puedes dar los precios?,preguntar_precios
¿cuánto cobran por el diseño en uñas?,preguntar_precios
¿cuál es el precio del alaciado japonés?,preguntar_precios
¿qué precio tiene el dermapen?,preguntar_precios
quiero saber cuánto cuesta cada servicio,preguntar_precios
¿tienen paquetes de servicios?,preguntar_paquetes
¿hay paquetes para depilación?,preguntar_paquetes
me interesa un paquete de pestañas y cejas,preguntar_paquetes
quiero armar un paquete personalizado,preguntar_paquetes
¿cuáles son los paquetes que manejan?,preguntar_paquetes
¿qué beneficios tiene el hydra lips?,preguntar_beneficios
¿para qué sirve el dermapen?,preguntar_beneficios
¿el botox capilar daña el cabello?,preguntar_beneficios
¿cuáles son los beneficios del alaciado permanente?,preguntar_beneficios
¿el tratamiento de enzimas para qué sirve?,preguntar_beneficios
¿tienes catálogo de pestañas?,solicitar_catalogo
mándame fotos de los estilos de pestañas,solicitar_catalogo
¿puedo ver los diseños de uñas?,solicitar_catalogo
¿me enseñas el catálogo de cejas?,solicitar_catalogo
quiero ver el catálogo de colores para el cabello,solicitar_catalogo
¿cuáles son las promociones de esta semana?,solicitar_promociones
¿tienen promo en uñas?,solicitar_promociones
¿hay descuentos hoy?,solicitar_promociones
¿qué días hacen promociones?,solicitar_promociones
¿hay promociones para nuevos clientes?,solicitar_promociones
quiero agendar una cita,agendar_cita
puedo agendar para mañana a las 4,agendar_cita
quiero una cita para uñas el viernes,agendar_cita
¿me puedes agendar para el martes?,agendar_cita
agéndame para depilación a las 10 am,agendar_cita
reservar cita para pestañas volumen,agendar_cita
¿qué tratamiento me recomiendas para mi cabello maltratado?,recomendar_tratamiento
¿si tengo el cabello procesado qué me hago?,recomendar_tratamiento
¿me sirve la nanoplastia si tengo frizz?,recomendar_tratamiento
¿cuál es el mejor tratamiento para alaciar sin dañar?,recomendar_tratamiento
"¿qué es mejor para mí, botox o keratina?",recomendar_tratamiento
¿puedo hacerme uñas y pestañas el mismo día?,preguntar_combinar_servicios
¿puedo combinar enzimas con dermapen?,preguntar_combinar_servicios
¿me puedo hacer cejas y labios el mismo día?,preguntar_combinar_servicios
¿puedo agendar varios servicios juntos?,preguntar_combinar_servicios
quiero hacer combo de depilación y facial,preguntar_combinar_servicios
quiero cotizar un diseño personalizado de uñas,cotizar_diseno_uñas
¿cuánto me cuesta un diseño con piedras?,cotizar_diseno_uñas
¿puedo mandarte mi diseño y me cotizas?,cotizar_diseno_uñas
"tengo un diseño de instagram, ¿cuánto sería?",cotizar_diseno_uñas
¿necesito retiro para gelish?,preguntar_retiro
¿pueden hacer retiro de acrílico?,preguntar_retiro
¿si tengo uñas anteriores me las quitan?,preguntar_retiro
¿cuánto cuesta el retiro?,preguntar_retiro
quiero gelish con pedicure spa,elegir_opcion_servicio
elige para mí entre japonés o nanoplastia,elegir_opcion_servicio
"quiero pestañas volumen, no clásicas",elegir_opcion_servicio
me gusta más el diseño natural,elegir_opcion_servicio
¿tienes espacio el viernes a las 2?,preguntar_disponibilidad
¿puedes el sábado a las 11?,preguntar_disponibilidad
¿hay lugar hoy a las 5?,preguntar_disponibilidad
¿qué horarios tienes disponibles?,preguntar_disponibilidad
¿qué necesito para agendar relleno de labios?,preguntar_requisitos_agendar
¿tengo que hacer cita previa para enzimas?,preguntar_requisitos_agendar
¿necesito consulta antes de la cita?,preguntar_requisitos_agendar
¿hay que pagar anticipo?,preguntar_requisitos_agendar
¿Cuánto cuesta tinte?,preguntar_precios
Quiero agendar tinte,agendar_cita
¿Qué beneficios tiene tinte?,preguntar_beneficios
¿Me recomiendas tinte?,recomendar_tratamiento
¿Tienen promoción en tinte?,solicitar_promociones
¿Cuánto cuesta corte?,preguntar_precios
Quiero agendar corte,agendar_cita
¿Qué beneficios tiene corte?,preguntar_beneficios
¿Me recomiendas corte?,recomendar_tratamiento
¿Tienen promoción en corte?,solicitar_promociones
¿Cuánto cuesta alaciado?,preguntar_precios
Quiero agendar alaciado,agendar_cita
¿Qué beneficios tiene alaciado?,preguntar_beneficios
¿Me recomiendas alaciado?,recomendar_tratamiento
¿Tienen promoción en alaciado?,solicitar_promociones
¿Cuánto cuesta keratina?,preguntar_precios
Quiero agendar keratina,agendar_cita
¿Qué beneficios tiene keratina?,preguntar_beneficios
¿Me recomiendas keratina?,recomendar_tratamiento
¿Tienen promoción en keratina?,solicitar_promociones
¿Cuánto cuesta nanoplastia?,preguntar_precios
Quiero agendar nanoplastia,agendar_cita
¿Qué beneficios tiene nanoplastia?,preguntar_beneficios
¿Me recomiendas nanoplastia?,recomendar_tratamiento
¿Tienen promoción en nanoplastia?,solicitar_promociones
¿Cuánto cuesta efectos de color?,preguntar_precios
Quiero agendar efectos de color,agendar_cita
¿Qué beneficios tiene efectos de color?,preguntar_beneficios
¿Me recomiendas efectos de color?,recomendar_tratamiento
¿Tienen promoción en efectos de color?,solicitar_promociones
¿Cuánto cuesta trenzas?,preguntar_precios
Quiero agendar trenzas,agendar_cita
¿Qué beneficios tiene trenzas?,preguntar_beneficios
¿Me recomiendas trenzas?,recomendar_tratamiento
¿Tienen promoción en trenzas?,solicitar_promociones
¿Cuánto cuesta extensiones?,preguntar_precios
Quiero agendar extensiones,agendar_cita
¿Qué beneficios tiene extensiones?,preguntar_beneficios
¿Me recomiendas extensiones?,recomendar_tratamiento
¿Tienen promoción en extensiones?,solicitar_promociones
¿Cuánto cuesta tratamientos?,preguntar_precios
Quiero agendar tratamientos,agendar_cita
¿Qué beneficios tiene tratamientos?,preguntar_beneficios
¿Me recomiendas tratamientos?,recomendar_tratamiento
¿Tienen promoción en tratamientos?,solicitar_promociones
¿Cuánto cuesta clásicas?,preguntar_precios
Quiero agendar clásicas,agendar_cita
¿Qué beneficios tiene clásicas?,preguntar_beneficios
¿Me recomiendas clásicas?,preguntar_beneficios
¿Tienen promoción en clásicas?,solicitar_promociones
¿Cuánto cuesta híbridas?,preguntar_precios
Quiero agendar híbridas,agendar_cita
¿Qué beneficios tiene híbridas?,preguntar_beneficios
¿Me recomiendas híbridas?,preguntar_beneficios
¿Tienen promoción en híbridas?,solicitar_promociones
¿Cuánto cuesta volumen?,preguntar_precios
Quiero agendar volumen,agendar_cita
¿Qué beneficios tiene volumen?,preguntar_beneficios
¿Me recomiendas volumen?,preguntar_beneficios
¿Tienen promoción en volumen?,solicitar_promociones
¿Cuánto cuesta rímel?,preguntar_precios
Quiero agendar rímel,agendar_cita
¿Qué beneficios tiene rímel?,preguntar_beneficios
¿Me recomiendas rímel?,preguntar_beneficios
¿Tienen promoción en rímel?,solicitar_promociones
¿Cuánto cuesta efecto mojado?,preguntar_precios
Quiero agendar efecto mojado,agendar_cita
¿Qué beneficios tiene efecto mojado?,preguntar_beneficios
¿Me recomiendas efecto mojado?,preguntar_beneficios
¿Tienen promoción en efecto mojado?,solicitar_promociones
¿Cuánto cuesta volumen americano?,preguntar_precios
Quiero agendar volumen americano,agendar_cita
¿Qué beneficios tiene volumen americano?,preguntar_beneficios
¿Me recomiendas volumen americano?,preguntar_beneficios
¿Tienen promoción en volumen americano?,solicitar_promociones
¿Cuánto cuesta volumen hawaiano?,preguntar_precios
Quiero agendar volumen hawaiano,agendar_cita
¿Qué beneficios tiene volumen hawaiano?,preguntar_beneficios
¿Me recomiendas volumen hawaiano?,preguntar_beneficios
¿Tienen promoción en volumen hawaiano?,solicitar_promociones
¿Cuánto cuesta volumen ruso?,preguntar_precios
Quiero agendar volumen ruso,agendar_cita
¿Qué beneficios tiene volumen ruso?,preguntar_beneficios
¿Me recomiendas volumen ruso?,preguntar_beneficios
¿Tienen promoción en volumen ruso?,solicitar_promociones
¿Cuánto cuesta volumen egipcio?,preguntar_precios
Quiero agendar volumen egipcio,agendar_cita
¿Qué beneficios tiene volumen egipcio?,preguntar_beneficios
¿Me recomiendas volumen egipcio?,preguntar_beneficios
¿Tienen promoción en volumen egipcio?,solicitar_promociones
¿Cuánto cuesta efecto coreano?,preguntar_precios
Quiero agendar efecto coreano,agendar_cita
¿Qué beneficios tiene efecto coreano?,preguntar_beneficios
¿Me recomiendas efecto coreano?,preguntar_beneficios
¿Tienen promoción en efecto coreano?,solicitar_promociones
¿Cuánto cuesta wispy?,preguntar_precios
Quiero agendar wispy,agendar_cita
¿Qué beneficios tiene wispy?,preguntar_beneficios
¿Me recomiendas wispy?,preguntar_beneficios
¿Tienen promoción en wispy?,solicitar_promociones
¿Cuánto cuesta choppy?,preguntar_precios
Quiero agendar choppy,agendar_cita
¿Qué beneficios tiene choppy?,preguntar_beneficios
¿Me recomiendas choppy?,preguntar_beneficios
¿Tienen promoción en choppy?,solicitar_promociones
¿Cuánto cuesta foxy eye?,preguntar_precios
Quiero agendar foxy eye,agendar_cita
¿Qué beneficios tiene foxy eye?,preguntar_beneficios
